,Date,Value
0,2021-04-30,1
1,2021-04-28,1
2,2021-04-27,1
3,2021-04-26,1
4,2021-04-22,1
5,2021-04-21,1
6,2021-04-20,1
7,2021-04-17,1
8,2021-04-15,1
9,2021-04-14,1
10,2021-04-13,1
11,2021-05-01,1
12,2021-04-25,1
13,2021-04-04,1
14,2021-04-03,1
15,2021-04-02,1
16,2021-03-29,1
17,2021-05-02,1
18,2021-05-07,1
19,2021-05-09,1
20,2021-05-13,1
21,2021-05-15,1
22,2021-05-17,1
23,2021-05-16,1
24,2021-05-25,1
25,2021-06-03,1
26,2021-06-04,1
27,2021-06-06,1
28,2021-06-08,1
29,2021-06-12,1
30,2021-06-14,1
31,2021-06-21,1
32,2021-06-30,1
33,2021-07-07,1
34,2021-08-25,1
35,2021-08-29,1
36,2021-09-08,1
37,2021-09-24,1
38,2021-09-29,1
39,2021-10-09,1
40,2021-10-16,1
41,2021-10-23,1
42,2021-10-26,1
43,2021-11-06,1
44,2021-11-10,1
45,2021-11-15,1
46,2021-11-14,1
47,2021-11-13,1
48,2021-11-12,1
49,2021-11-11,1
50,2021-11-08,1
51,2021-11-07,1
52,2021-11-05,1
53,2021-11-04,1
54,2021-11-03,1
55,2021-11-19,1
56,2021-11-18,1
57,2021-11-22,1
58,2021-11-25,1
59,2021-11-26,1
60,2021-11-28,1
61,2021-11-29,1
62,2021-12-01,1
63,2021-12-02,1
64,2021-12-11,1
65,2021-12-12,1
66,2021-12-28,1
67,2021-12-31,1
68,2022-01-07,1
69,2022-01-18,1
70,2022-01-23,1
71,2022-01-31,1
72,2022-02-09,1
73,2022-02-12,1
74,2022-02-19,1
75,2022-02-20,1
76,2022-02-26,1
77,2022-03-03,1
78,2022-03-07,1
79,2022-03-21,1
80,2022-03-23,1
81,2022-03-25,1
82,2022-04-03,1
83,2022-04-22,1
84,2022-04-24,1
85,2022-05-07,1
86,2022-07-30,1
87,2022-08-01,1
88,2022-08-13,1
89,2022-08-24,1
90,2022-09-20,1
91,2022-09-29,1
92,2022-09-30,1
93,2022-10-09,1
94,2022-10-10,1
95,2022-10-24,1
96,2022-11-04,1
97,2022-11-11,1
98,2022-11-24,1
99,2022-11-28,1
100,2022-12-09,1
101,2022-12-24,1
102,2022-12-25,1
103,2022-12-26,1
104,2022-12-31,1
105,2023-01-05,1
106,2023-01-08,1
107,2023-01-11,1
108,2023-01-16,1
109,2023-01-23,1
110,2023-01-26,1
111,2023-01-29,1
112,2023-01-30,1
113,2023-02-16,1
114,2023-02-20,1
115,2023-02-21,1
116,2023-02-25,1
117,2023-02-26,1
118,2023-02-27,1
119,2023-03-01,1
120,2023-03-04,1
121,2023-03-05,1
122,2023-03-06,1
123,2023-03-08,1
124,2023-03-09,1
125,2023-03-26,1
126,2023-03-28,1
127,2023-03-27,1
128,2023-04-08,1
129,2023-04-14,1
130,2023-04-15,1
131,2023-04-16,1
132,2023-04-19,1
133,2023-04-20,1
134,2023-04-21,1
135,2023-04-22,1
136,2023-05-03,1
137,2023-05-05,1
138,2023-05-10,1
139,2023-05-13,1
140,2023-05-22,1
141,2023-05-25,1
142,2023-05-24,1
143,2023-06-03,1
144,2023-06-06,1
145,2023-06-07,1
146,2023-06-15,1
147,2023-06-18,1
148,2023-06-24,1
149,2023-06-26,1
150,2023-06-27,1
151,2023-07-16,1
152,2023-07-22,1
153,2023-07-28,1
154,2023-08-01,1
155,2023-08-03,1
156,2023-08-07,1
157,2023-08-15,1
158,2023-08-16,1
159,2023-08-22,1
160,2023-08-25,1
161,2023-09-08,1
162,2023-09-26,1
163,2023-10-05,1
164,2023-10-06,1
165,2023-10-10,1
166,2023-10-11,1
167,2023-10-19,1
168,2023-10-20,1
169,2023-10-22,1
170,2023-11-01,1
171,2023-11-08,1
172,2023-11-10,1
173,2023-11-13,1
174,2023-11-21,1
175,2023-11-26,1
176,2023-11-27,1
177,2023-12-01,1
178,2023-12-03,1
179,2023-12-04,1
180,2023-12-05,1
181,2023-12-10,1
182,2023-12-19,1
183,2023-12-20,1
184,2023-12-21,1
185,2023-12-25,1
186,2024-01-01,1
187,2024-01-12,1
188,2024-01-16,1
189,2024-01-18,1
190,2024-01-20,1
191,2024-01-21,1
192,2024-01-23,1
193,2024-01-24,1
194,2024-01-25,1
195,2024-02-04,1
196,2024-02-16,1
197,2024-02-21,1
198,2024-02-24,1
199,2024-02-27,1
200,2024-03-04,1
201,2024-03-05,1
202,2024-03-07,1
203,2024-03-12,1
204,2024-03-13,1
205,2024-03-14,1
206,2024-03-16,1
207,2024-03-17,1
208,2024-03-19,1
209,2024-03-20,1
210,2024-03-22,1
211,2024-03-29,1
212,2024-03-30,1
213,2024-04-04,1
214,2024-04-12,1
215,2024-04-17,1
216,2024-04-26,1
217,2024-04-27,1
218,2024-05-01,1
219,2024-05-05,1
