,Date,Value
0,2021-04-30,1
1,2021-04-29,1
2,2021-04-28,1
3,2021-04-27,1
4,2021-04-26,1
5,2021-04-25,1
6,2021-04-24,1
7,2021-05-01,1
8,2021-05-02,1
9,2021-05-03,1
10,2021-05-04,1
11,2021-05-05,1
12,2021-05-06,1
13,2021-05-07,1
14,2021-05-08,1
15,2021-05-09,1
16,2021-05-10,1
17,2021-05-11,1
18,2021-05-12,1
19,2021-05-13,1
20,2021-05-14,1
21,2021-05-15,1
22,2021-05-16,1
23,2021-05-17,1
24,2021-05-18,1
25,2021-05-19,1
26,2021-05-20,1
27,2021-05-21,1
28,2021-05-22,1
29,2021-05-23,1
30,2021-05-24,1
31,2021-05-25,1
32,2021-05-26,1
33,2021-05-27,1
34,2021-05-28,1
35,2021-05-29,1
36,2021-05-30,1
37,2021-05-31,1
38,2021-06-01,1
39,2021-06-02,1
40,2021-06-03,1
41,2021-06-04,1
42,2021-06-05,1
43,2021-06-06,1
44,2021-06-07,1
45,2021-06-08,1
46,2021-06-09,1
47,2021-06-10,1
48,2021-06-11,1
49,2021-06-12,1
50,2021-06-13,1
51,2021-06-14,1
52,2021-06-15,1
53,2021-06-16,1
54,2021-06-18,1
55,2021-06-17,1
56,2021-06-19,1
57,2021-06-20,1
58,2021-06-21,1
59,2021-06-22,1
60,2021-06-23,1
61,2021-06-24,1
62,2021-06-25,1
63,2021-06-26,1
64,2021-06-27,1
65,2021-06-28,1
66,2021-06-29,1
67,2021-06-30,1
68,2021-07-01,1
69,2021-07-02,1
70,2021-07-03,1
71,2021-07-04,1
72,2021-07-05,1
73,2021-07-06,1
74,2021-07-07,1
75,2021-07-08,1
76,2021-07-09,1
77,2021-07-10,1
78,2021-07-11,1
79,2021-07-12,1
80,2021-07-13,1
81,2021-07-14,1
82,2021-07-15,1
83,2021-07-16,1
84,2021-07-17,1
85,2021-07-18,1
86,2021-07-19,1
87,2021-07-20,1
88,2021-07-21,1
89,2021-07-22,1
90,2021-07-23,1
91,2021-07-24,1
92,2021-07-25,1
93,2021-07-26,1
94,2021-07-27,1
95,2021-07-28,1
96,2021-07-29,1
97,2021-07-30,1
98,2021-07-31,1
99,2021-08-01,1
100,2021-08-02,1
101,2021-08-03,1
102,2021-08-04,1
103,2021-08-05,1
104,2021-08-06,1
105,2021-08-07,1
106,2021-08-08,1
107,2021-08-09,1
108,2021-08-10,1
109,2021-08-11,1
110,2021-08-12,1
111,2021-08-13,1
112,2021-08-14,1
113,2021-08-15,1
114,2021-08-16,1
115,2021-08-17,1
116,2021-08-18,1
117,2021-08-19,1
118,2021-08-20,1
119,2021-08-21,1
120,2021-08-22,1
121,2021-08-23,1
122,2021-08-24,1
123,2021-08-25,1
124,2021-08-26,1
125,2021-08-27,1
126,2021-08-28,1
127,2021-08-29,1
128,2021-08-30,1
129,2021-08-31,1
130,2021-09-01,1
131,2021-09-02,1
132,2021-09-03,1
133,2021-09-04,1
134,2021-09-05,1
135,2021-09-06,1
136,2021-09-07,1
137,2021-09-08,1
138,2021-09-09,1
139,2021-09-10,1
140,2021-09-11,1
141,2021-09-12,1
142,2021-09-13,1
143,2021-09-14,1
144,2021-09-15,1
145,2021-09-16,1
146,2021-09-17,1
147,2021-09-18,1
148,2021-09-19,1
149,2021-09-20,1
150,2021-09-21,1
151,2021-09-22,1
152,2021-09-23,1
153,2021-09-24,1
154,2021-09-25,1
155,2021-09-26,1
156,2021-09-27,1
157,2021-09-28,1
158,2021-09-29,1
159,2021-09-30,1
160,2021-10-01,1
161,2021-10-02,1
162,2021-10-03,1
163,2021-10-04,1
164,2021-10-05,1
165,2021-10-06,1
166,2021-10-07,1
167,2021-10-08,1
168,2021-10-09,1
169,2021-10-10,1
170,2021-10-11,1
171,2021-10-12,1
172,2021-10-13,1
173,2021-10-14,1
174,2021-10-15,1
175,2021-10-16,1
176,2021-10-17,1
177,2021-10-18,1
178,2021-10-19,1
179,2021-10-20,1
180,2021-10-21,1
181,2021-10-22,1
182,2021-10-23,1
183,2021-10-24,1
184,2021-10-25,1
185,2021-10-26,1
186,2021-10-27,1
187,2021-10-28,1
188,2021-10-29,1
189,2021-10-30,1
190,2021-10-31,1
191,2021-11-01,1
192,2021-11-02,1
193,2021-11-03,1
194,2021-11-04,1
195,2021-11-05,1
196,2021-11-06,1
197,2021-11-07,1
198,2021-11-08,1
199,2021-11-09,1
200,2021-11-10,1
201,2021-11-11,1
202,2021-11-12,1
203,2021-11-13,1
204,2021-11-14,1
205,2021-11-15,1
206,2021-11-16,1
207,2021-11-17,1
208,2021-11-18,1
209,2021-11-19,1
210,2021-11-20,1
211,2021-11-21,1
212,2021-11-22,1
213,2021-11-23,1
214,2021-11-24,1
215,2021-11-25,1
216,2021-11-26,1
217,2021-11-27,1
218,2021-11-28,1
219,2021-11-29,1
220,2021-11-30,1
221,2021-12-01,1
222,2021-12-02,1
223,2021-12-03,1
224,2021-12-04,1
225,2021-12-05,1
226,2021-12-06,1
227,2021-12-07,1
228,2021-12-08,1
229,2021-12-09,1
230,2021-12-10,1
231,2021-12-11,1
232,2021-12-12,1
233,2021-12-13,1
234,2021-12-14,1
235,2021-12-15,1
236,2021-12-16,1
237,2021-12-17,1
238,2021-12-18,1
239,2021-12-19,1
240,2021-12-20,1
241,2021-12-21,1
242,2021-12-22,1
243,2021-12-23,1
244,2021-12-24,1
245,2021-12-25,1
246,2021-12-26,1
247,2021-12-27,1
248,2021-12-28,1
249,2021-12-29,1
250,2021-12-30,1
251,2021-12-31,1
252,2022-01-01,1
253,2022-01-02,1
254,2022-01-03,1
255,2022-01-04,1
256,2022-01-05,1
257,2022-01-06,1
258,2022-01-07,1
259,2022-01-08,1
260,2022-01-09,1
261,2022-01-10,1
262,2022-01-11,1
263,2022-01-12,1
264,2022-01-13,1
265,2022-01-14,1
266,2022-01-15,1
267,2022-01-16,1
268,2022-01-17,1
269,2022-01-18,1
270,2022-01-19,1
271,2022-01-20,1
272,2022-01-21,1
273,2022-01-22,1
274,2022-01-23,1
275,2022-01-24,1
276,2022-01-25,1
277,2022-01-26,1
278,2022-01-27,1
279,2022-01-28,1
280,2022-01-29,1
281,2022-01-30,1
282,2022-01-31,1
283,2022-02-01,1
284,2022-02-02,1
285,2022-02-03,1
286,2022-02-04,1
287,2022-02-05,1
288,2022-02-06,1
289,2022-02-07,1
290,2022-02-08,1
291,2022-02-09,1
292,2022-02-10,1
293,2022-02-11,1
294,2022-02-12,1
295,2022-02-13,1
296,2022-02-14,1
297,2022-02-15,1
298,2022-02-16,1
299,2022-02-17,1
300,2022-02-18,1
301,2022-02-19,1
302,2022-02-20,1
303,2022-02-21,1
304,2022-02-22,1
305,2022-02-23,1
306,2022-02-24,1
307,2022-02-25,1
308,2022-02-26,1
309,2022-02-27,1
310,2022-02-28,1
311,2022-03-01,1
312,2022-03-02,1
313,2022-03-03,1
314,2022-03-04,1
315,2022-03-05,1
316,2022-03-06,1
317,2022-03-07,1
318,2022-03-08,1
319,2022-03-09,1
320,2022-03-10,1
321,2022-03-11,1
322,2022-03-12,1
323,2022-03-13,1
324,2022-03-14,1
325,2022-03-15,1
326,2022-03-16,1
327,2022-03-17,1
328,2022-03-18,1
329,2022-03-19,1
330,2022-03-20,1
331,2022-03-21,1
332,2022-03-22,1
333,2022-03-23,1
334,2022-03-24,1
335,2022-03-25,1
336,2022-03-26,1
337,2022-03-27,1
338,2022-03-28,1
339,2022-03-29,1
340,2022-03-30,1
341,2022-03-31,1
342,2022-04-01,1
343,2022-04-02,1
344,2022-04-03,1
345,2022-04-04,1
346,2022-04-05,1
347,2022-04-06,1
348,2022-04-07,1
349,2022-04-08,1
350,2022-04-09,1
351,2022-04-10,1
352,2022-04-11,1
353,2022-04-12,1
354,2022-04-13,1
355,2022-04-14,1
356,2022-04-15,1
357,2022-04-16,1
358,2022-04-17,1
359,2022-04-18,1
360,2022-04-19,1
361,2022-04-20,1
362,2022-04-21,1
363,2022-04-22,1
364,2022-04-23,1
365,2022-04-24,1
366,2022-04-25,1
367,2022-04-26,1
368,2022-04-27,1
369,2022-04-28,1
370,2022-04-29,1
371,2022-04-30,1
372,2022-05-01,1
373,2022-05-02,1
374,2022-05-03,1
375,2022-05-04,1
376,2022-05-05,1
377,2022-05-06,1
378,2022-05-07,1
379,2022-05-08,1
380,2022-05-09,1
381,2022-05-10,1
382,2022-05-11,1
383,2022-05-12,1
384,2022-05-13,1
385,2022-05-14,1
386,2022-05-15,1
387,2022-05-16,1
388,2022-05-17,1
389,2022-05-18,1
390,2022-05-19,1
391,2022-05-20,1
392,2022-05-21,1
393,2022-05-22,1
394,2022-05-23,1
395,2022-05-24,1
396,2022-05-25,1
397,2022-05-26,1
398,2022-05-27,1
399,2022-05-28,1
400,2022-05-29,1
401,2022-05-30,1
402,2022-05-31,1
403,2022-06-01,1
404,2022-06-02,1
405,2022-06-03,1
406,2022-06-04,1
407,2022-06-05,1
408,2022-06-06,1
409,2022-06-07,1
410,2022-06-08,1
411,2022-06-09,1
412,2022-06-10,1
413,2022-06-11,1
414,2022-06-12,1
415,2022-06-13,1
416,2022-06-14,1
417,2022-06-15,1
418,2022-06-16,1
419,2022-06-17,1
420,2022-06-18,1
421,2022-06-19,1
422,2022-06-20,1
423,2022-06-21,1
424,2022-06-22,1
425,2022-06-23,1
426,2022-06-24,1
427,2022-06-25,1
428,2022-06-26,1
429,2022-06-27,1
430,2022-06-28,1
431,2022-06-29,1
432,2022-06-30,1
433,2022-07-01,1
434,2022-07-02,1
435,2022-07-03,1
436,2022-07-04,1
437,2022-07-05,1
438,2022-07-06,1
439,2022-07-07,1
440,2022-07-08,1
441,2022-07-09,1
442,2022-07-10,1
443,2022-07-11,1
444,2022-07-12,1
445,2022-07-13,1
446,2022-07-14,1
447,2022-07-15,1
448,2022-07-16,1
449,2022-07-17,1
450,2022-07-18,1
451,2022-07-19,1
452,2022-07-20,1
453,2022-07-21,1
454,2022-07-22,1
455,2022-07-23,1
456,2022-07-24,1
457,2022-07-25,1
458,2022-07-26,1
459,2022-07-27,1
460,2022-07-28,1
461,2022-07-29,1
462,2022-07-30,1
463,2022-07-31,1
464,2022-08-01,1
465,2022-08-02,1
466,2022-08-03,1
467,2022-08-04,1
468,2022-08-05,1
469,2022-08-06,1
470,2022-08-07,1
471,2022-08-08,1
472,2022-08-09,1
473,2022-08-10,1
474,2022-08-11,1
475,2022-08-12,1
476,2022-08-13,1
477,2022-08-14,1
478,2022-08-15,1
479,2022-08-16,1
480,2022-08-17,1
481,2022-08-18,1
482,2022-08-19,1
483,2022-08-20,1
484,2022-08-21,1
485,2022-08-22,1
486,2022-08-23,1
487,2022-08-24,1
488,2022-08-25,1
489,2022-08-26,1
490,2022-08-27,1
491,2022-08-28,1
492,2022-08-29,1
493,2022-08-30,1
494,2022-08-31,1
495,2022-09-01,1
496,2022-09-02,1
497,2022-09-03,1
498,2022-09-04,1
499,2022-09-05,1
500,2022-09-06,1
501,2022-09-07,1
502,2022-09-08,1
503,2022-09-09,1
504,2022-09-10,1
